,house_title,house_type,price,user,no_of_ratings,rating,house_detail,house_details,no_of_guest,house_size,no_of_beds,no_of_baths,house,beds,bath
65,appartement style loft en rdc,Entire home,80.0,Frederic,55,4.76,"['2 guests', '1 bedroom', '1 bed', '1.5 baths', '\U000f0004\n56 Reviews']","[""['2 guests'"", "" '1 bedroom'"", "" '1 bed'"", "" '1.5 baths'"", "" '\\U000f0004\\n56 Reviews']""]",2.0, '1 bedroom', '1 bed', '1.5 baths',1.0,1.0,1.5
66,Saint Germain - Sorbonne,Entire home,390.0,Thierry,164,4.78,"['6 guests', '2 bedrooms', '3 beds', '1 bath', '\U000f0004\n1,396 Reviews', '\U000f0019\nVerified']","[""['6 guests'"", "" '2 bedrooms'"", "" '3 beds'"", "" '1 bath'"", "" '\\U000f0004\\n1"", ""396 Reviews'"", "" '\\U000f0019\\nVerified']""]",6.0, '2 bedrooms', '3 beds', '1 bath',2.0,3.0,1.0
68,BEAUTIFUL 3ROOMS BETWEEN TROCADERO & CHAMPS ELYSÉE,Entire home,349.0,Igal & Deborah,24,4.67,"['4 guests', '2 bedrooms', '2 beds', '1 bath', '\U000f0004\n141 Reviews', '\U000f0019\nVerified']","[""['4 guests'"", "" '2 bedrooms'"", "" '2 beds'"", "" '1 bath'"", "" '\\U000f0004\\n141 Reviews'"", "" '\\U000f0019\\nVerified']""]",4.0, '2 bedrooms', '2 beds', '1 bath',2.0,2.0,1.0
69,loft 122 m2,Entire home,250.0,Stephane,29,4.69,"['8 guests', '3 bedrooms', '4 beds', '1 bath', '\U000f0004\n29 Reviews', '\U000f0019\nVerified']","[""['8 guests'"", "" '3 bedrooms'"", "" '4 beds'"", "" '1 bath'"", "" '\\U000f0004\\n29 Reviews'"", "" '\\U000f0019\\nVerified']""]",8.0, '3 bedrooms', '4 beds', '1 bath',3.0,4.0,1.0
70,♥ Magnificent apartment near Vilette Ourcq - 10P,Entire home,390.0,Charles,11,5.0,"['10 guests', '3 bedrooms', '5 beds', '2 baths', '\U000f0004\n1,001 Reviews', '\U000f0019\nVerified']","[""['10 guests'"", "" '3 bedrooms'"", "" '5 beds'"", "" '2 baths'"", "" '\\U000f0004\\n1"", ""001 Reviews'"", "" '\\U000f0019\\nVerified']""]",10.0, '3 bedrooms', '5 beds', '2 baths',3.0,5.0,2.0
71,Centre paris,Entire home,193.0,Anna,4,4.75,"['8 guests', '2 bedrooms', '4 beds', '1 bath', '\U000f0004\n4 Reviews']","[""['8 guests'"", "" '2 bedrooms'"", "" '4 beds'"", "" '1 bath'"", "" '\\U000f0004\\n4 Reviews']""]",8.0, '2 bedrooms', '4 beds', '1 bath',2.0,4.0,1.0
72,5th Heaven: Haussmanian Paris Outside Your Door,Entire home,199.0,Charlotte,19,3.79,"['6 guests', '2 bedrooms', '3 beds', '1 bath', '\U000f0004\n19 Reviews']","[""['6 guests'"", "" '2 bedrooms'"", "" '3 beds'"", "" '1 bath'"", "" '\\U000f0004\\n19 Reviews']""]",6.0, '2 bedrooms', '3 beds', '1 bath',2.0,3.0,1.0
73,"Paris 16, Trocadéro",Private room in condominium,70.0,Christophe,163,4.85,"['2 guests', '1 bedroom', '2 beds', '1 shared bath', '\U000f0004\n164 Reviews', '\U000f0019\nVerified']","[""['2 guests'"", "" '1 bedroom'"", "" '2 beds'"", "" '1 shared bath'"", "" '\\U000f0004\\n164 Reviews'"", "" '\\U000f0019\\nVerified']""]",2.0, '1 bedroom', '2 beds', '1 shared bath',1.0,2.0,1.0
76,Sublime and new apartment center of Paris,Entire home,252.0,Michael & Johanna,32,4.38,"['6 guests', '2 bedrooms', '3 beds', '1 bath', '\U000f0004\n5,963 Reviews', '\U000f0019\nVerified']","[""['6 guests'"", "" '2 bedrooms'"", "" '3 beds'"", "" '1 bath'"", "" '\\U000f0004\\n5"", ""963 Reviews'"", "" '\\U000f0019\\nVerified']""]",6.0, '2 bedrooms', '3 beds', '1 bath',2.0,3.0,1.0
77,Room - Charming apartment Latin Quarter,Private room in apartment,58.0,Claire,283,4.63,"['2 guests', '1 bedroom', '1 bed', '1.5 shared baths', '\U000f0004\n323 Reviews', '\U000f0019\nVerified']","[""['2 guests'"", "" '1 bedroom'"", "" '1 bed'"", "" '1.5 shared baths'"", "" '\\U000f0004\\n323 Reviews'"", "" '\\U000f0019\\nVerified']""]",2.0, '1 bedroom', '1 bed', '1.5 shared baths',1.0,1.0,1.5
78,Heart of Moulin Rouge,Entire home,223.0,Ari,38,4.55,"['6 guests', '2 bedrooms', '3 beds', '2 baths', '\U000f0004\n1,392 Reviews', '\U000f0019\nVerified']","[""['6 guests'"", "" '2 bedrooms'"", "" '3 beds'"", "" '2 baths'"", "" '\\U000f0004\\n1"", ""392 Reviews'"", "" '\\U000f0019\\nVerified']""]",6.0, '2 bedrooms', '3 beds', '2 baths',2.0,3.0,2.0
79,"Cosy home, 2 bathrooms, close to the Eiffel Tower",Entire home,190.0,Vincent,67,4.91,"['4 guests', '1 bedroom', '2 beds', '2 baths', '\U000f0004\n561 Reviews', '\U000f0019\nVerified']","[""['4 guests'"", "" '1 bedroom'"", "" '2 beds'"", "" '2 baths'"", "" '\\U000f0004\\n561 Reviews'"", "" '\\U000f0019\\nVerified']""]",4.0, '1 bedroom', '2 beds', '2 baths',1.0,2.0,2.0
